Régions;HASC;;
Tunisie;TN;;
Gouvernorat de Tunis;TN.TU;;
Délégation de Carthage;TN.TU.CA;;
Délégation de La Medina;TN.TU.MD;;
Délégation de Bab El Bhar;TN.TU.BB;;
Délégation de Bab Souika;TN.TU.BS;;
Délégation de El Omrane;TN.TU.OM;;
Délégation de El Omrane Supérieur;TN.TU.OS;;
Délégation de Ettahrir;TN.TU.TA;;
Délégation de El Menzah;TN.TU.MZ;;
Délégation de Cité El Khadhra;TN.TU.KH;;
Délégation de Le Bardo;TN.TU.LB;;
Délégation de Sijoumi;TN.TU.SI;;
Délégation de Ezzouhour;;;
Délégation de El Hrairia;TN.TU.HA;;
Délégation de Sidi Hassine;TN.TU.SH;;
Délégation de El Ouardia;TN.TU.OU;;
Délégation de El Kabaria;TN.TU.KA;;
Délégation de Sidi El Béchir;TN.TU.SB;;
Délégation de Djebel Djelloud;TN.TU.JJ;;
Délégation de La Goulette;TN.TU.LG;;
Délégation de Le Kram;TN.TU.LK;;
Délégation de La Marsa;TN.TU.LM;;
Gouvernorat de L'Ariana;TN.AN;;
Délégation de L'Ariana Ville;TN.AN.AR;;
Délégation de Soukra;TN.AN.LS;;
Délégation de Raoued;TN.AN.RA;;
Délégation de Kalaât El Andalous;TN.AN.KA;;
Délégation de Sidi Thabet;TN.AN.ST;;
Délégation de Cité Ettadhamen;TN.AN.ET;;
Délégation de El Mnihla;TN.AN.MN;;
Gouvernorat de Ben Arous;TN.BA.BA;;
Délégation de Ben Arous;TN.BA.BA;;
Délégation de La Nouvelle Medina;TN.BA.NM;;
Délégation de El Mourouj;TN.BA.MJ;;
Délégation de Hammam Lif;TN.BA.HL;;
Délégation de Hammam Chôtt;TN.BA.HC;;
Délégation de Bou Mhel El Bassatine;TN.BA.BE;;
Délégation de Ezzahra;TN.BA.EZ;;
Délégation de Radès;TN.BA.RA;;
Délégation de Megrine;TN.BA.ME;;
Délégation de Mohamedia;TN.BA.MH;;
Délégation de Fouchana;TN.BA.FO;;
Délégation de Mornag;TN.BA.MR;;
Gouvernorat de Manouba;TN.MN;;
Délégation de Mannouba;TN.MN.MA;;
Délégation de Douar Hicher;TN.MN.DH;;
Délégation de Oued Ellil;TN.MN.OE;;
Délégation de Mornaguia;TN.MN.MO;;
Délégation de Borj Amri;TN.MN.BA;;
Délégation de Djedeida;TN.MN.JE;;
Délégation de Tebourba;TN.MN.TE;;
Délégation de El Battane;TN.MN.BT;;
Gouvernorat de Nabeul;TN.NB;;
Délégation de Nabeul;TN.NB.NA;;
Délégation de Dar Châabane El Fehri;TN.NB.DC;;
Délégation de Beni khiar;TN.NB.BR;;
Délégation de Korba;TN.NB.KO;;
Délégation de Menzel Temime;TN.NB.MT;;
Délégation de El Mida;TN.NB.MI;;
Délégation de Kelibia;TN.NB.KE;;
Délégation de Hammam El Guezaz;TN.NB.HG;;
Délégation de El Haouaria;TN.NB.HR;;
Délégation de Takelsa;TN.NB.TA;;
Délégation de Soliman;TN.NB.SO;;
Délégation de Menzel Bouzelfa;TN.NB.MB;;
Délégation de Beni Khalled;TN.NB.BD;;
Délégation de Grombalia;TN.NB.GR;;
Délégation de Bou Argoub;TN.NB.BA;;
Délégation de Hammamet;TN.NB.HM;;
Gouvernorat de Zaghouan;TN.ZA;;
Délégation de Zaghouan;TN.ZA.ZA;;
Délégation de Ez-Zeriba;TN.ZA.ZR;;
Délégation de Bir Mchergua;TN.ZA.BM;;
Délégation de El Fahs;TN.ZA.FA;;
Délégation de En-Nadhour;TN.ZA.NA;;
Délégation de Saouaf;TN.ZA.SA;;
Gouvernorat de Bizerte;TN.BZ.BN;;
Délégation de Bizerte Nord;TN.BZ.BN;;
Délégation de Zarzouna;TN.BZ.JA;;
Délégation de Bizerte Sud;TN.BZ.BS;;
Délégation de Sedjnane;TN.BZ.SE;;
Délégation de Djoumine;TN.BZ.JO;;
Délégation de Mateur;TN.BZ.MA;;
Délégation de Ghezala;TN.BZ.GH;;
Délégation de Menzel Bourguiba;TN.BZ.MB;;
Délégation de Tinja;TN.BZ.TI;;
Délégation de Utique;TN.BZ.UT;;
Délégation de Ghar El Meleh;TN.BZ.GM;;
Délégation de Menzel Djemil;TN.BZ.MJ;;
Délégation de El Alia;TN.BZ.AL;;
Délégation de Ras Djebel;TN.BZ.RJ;;
Gouvernorat de Bèja;TN.BJ.AM;;
Délégation de Béja Nord;TN.BJ.BN;;
Délégation de Béja Sud;TN.BJ.BS;;
Délégation de Amdoun;TN.BJ.AM;;
Délégation de Nefza;TN.BJ.NE;;
Délégation de Teboursouk;TN.BJ.TB;;
Délégation de Tibar;TN.BJ.TH;;
Délégation de Testour;TN.BJ.TT;;
Délégation de Goubellat;TN.BJ.GO;;
Délégation de Medjez El Bab;TN.BJ.MB;;
Gouvernorat de Jendouba;TN.JE.AD;;
Délégation de Jendouba;TN.JE.JE;;
Délégation de Jendouba Nord;TN.JE.JN;;
Délégation de Bou Salem;TN.JE.BS;;
Délégation de Tabarka;TN.JE.TA;;
Délégation de Ain Draham;TN.JE.AD;;
Délégation de Fernana;TN.JE.FE;;
Délégation de Ghardimaou;TN.JE.GH;;
Délégation de Oued Meliz;TN.JE.OM;;
Délégation de Balta - Bou Aouane;TN.JE.BB;;
Gouvernorat du Kef;TN.KF;;
Délégation de Kef Ouest;TN.KF.KO;;
Délégation de Kef Est;TN.KF.KE;;
Délégation de Nebeur;TN.KF.NE;;
Délégation de Sakiet Sidi Youssef;TN.KF.SS;;
Délégation de Tajerouine;TN.KF.TE;;
Délégation de Kalâat Snan;TN.KF.KS;;
Délégation de Kalâat Khasbah;TN.KF.KR;;
Délégation de Djerissa;TN.KF.JE;;
Délégation de El Ksour;TN.KF.KU;;
Délégation de Dahmani;TN.KF.DA;;
Délégation de Es-Sers;TN.KF.ES;;
Gouvernorat de Siliana;TN.SL;;
Délégation de Siliana Nord;TN.SL.SN;;
Délégation de Siliana Sud;TN.SL.SS;;
Délégation de Bou Arada;TN.SL.BD;;
Délégation de Gaâfour;TN.SL.GA;;
Délégation de El  Krib;TN.SL.EL;;
Délégation de Bourouis;TN.SL.BR;;
Délégation de Makthar;TN.SL.MA;;
Délégation de Er-Rouhia;TN.SL.RO;;
Délégation de Kesra;TN.SL.KI;;
Délégation de Bargou;TN.SL.BA;;
Délégation de El Aroussa;TN.SL.LA;;
Gouvernorat de Sousse;TN.SS;;
Délégation de Sousse Medina;TN.SS.SM;;
Délégation de Sousse Riadh;TN.SS.SJ;;
Délégation de Sousse Jawhara;TN.SS.SR;;
Délégation de Sousse Sidi Abdelhamid;TN.SS.SS;;
Délégation de Hammam Sousse;TN.SS.HS;;
Délégation de Akouda;TN.SS.AK;;
Délégation de Kalaâ Kebira;TN.SS.KK;;
Délégation de Sidi Bou Ali;TN.SS.SB;;
Délégation de Hergla;TN.SS.HE;;
Délégation de Enfidha;TN.SS.EN;;
Délégation de Bouficha;TN.SS.BO;;
Délégation de Kondar;TN.SS.KO;;
Délégation de Sidi El Héni;TN.SS.SH;;
Délégation de M'saken;TN.SS.MS;;
Délégation de Kalaâ Seghira;TN.SS.KS;;
Délégation de Zaouia - Ksiba - Thrayet;TN.SZ.SE;;
Gouvernorat de Monastir;TN.MS;;
Délégation de Monastir;TN.MS.MS;;
Délégation de Ouerdanine;TN.MS.SA;;
Délégation de Sahline;TN.MS.SA;;
Délégation de Zermadine;TN.MS.ZA;;
Délégation de Beni Hassen;TN.MS.BH;;
Délégation de Jammel;TN.MS.JA;;
Délégation de Bembla;TN.MS.BM;;
Délégation de Moknine;TN.MS.MK;;
Délégation de Bekalta;TN.MS.BK;;
Délégation de Teboulba;TN.MS.TE;;
Délégation de Ksar Helal;TN.MS.KH;;
Délégation de Ksibet El Mediouni;TN.MS.KM;;
Délégation de Sayada-Lamta Bou-Hjar;TN.MS.SL;;
Gouvernorat de Mahdia;TN.MH;;
Délégation de Mahdia;TN.MH.MA;;
Délégation de Bou Merdès;TN.MH.BO;;
Délégation de Ouled Chamekh;TN.MH.OC;;
Délégation de Chorbane;TN.MH.CR;;
Délégation de Hebira;TN.MH.HB;;
Délégation de Essouassi;TN.MH.SO;;
Délégation de El Djem;TN.MH.JE;;
Délégation de Chebba;TN.MH.CB;;
Délégation de Melloulech;TN.MH.ME;;
Délégation de Sidi Alouane;TN.MH.SA;;
Délégation de Ksour Essef;TN.MH.KE;;
Gouvernorat de Sfax;TN.SF;;
Délégation de Sfax Ville;TN.SF.SM;;
Délégation de Sfax Ouest;TN.SF.SO;;
Délégation de Sakiet Ezzit;TN.SF.SZ;;
Délégation de Sakiet Eddaïer;TN.SF.SD;;
Délégation de Sfax Sud;TN.SF.SS;;
Délégation de Tina;TN.SF.TH;;
Délégation de Agareb;TN.SF.AG;;
Délégation de Djebeniana;TN.SF.DJ;;
Délégation de El Amra;TN.SF.AM;;
Délégation de El Hencha;TN.SF.HA;;
Délégation de Menzel Chaker;TN.NB.MB;;
Délégation de Ghraiba;TN.SF.GH;;
Délégation de Bir ali Ben Kelifa;TN.SF.BA;;
Délégation de Skhira;TN.SF.SK;;
Délégation de Mahres;TN.SF.MA;;
Délégation de Kerkenah;TN.SF.KE;;
Gouvernorat de Kairouan;TN.KR.HA;;
Délégation de Kairouan Nord;TN.KR.KN;;
Délégation de Kairouan Sud;TN.KR.KS;;
Délégation de Echebika;TN.KR.CB;;
Délégation de Sbikha;TN.KR.CB;;
Délégation de EL Ouslatia;TN.KR.OU;;
Délégation de Haffouz;TN.KR.HF;;
Délégation de El Alâa;TN.KR.AL;;
Délégation de Hajeb el Ayoun;TN.KR.HA;;
Délégation de Nasrallah;TN.KR.NA;;
Délégation de Echrarda;TN.KR.CR;;
Délégation de Bouhajla;TN.KR.SA;;
Gouvernorat de Kasserine;TN.KS.KN;;
Délégation de Kasserine Nord;TN.KS.KN;;
Délégation de Kasserine Sud;TN.KS.KS;;
Délégation de Ezzouhour;TN.KS.EZ;;
Délégation de Hassi Ferid;TN.KS.HF;;
Délégation de Sbeitla;TN.KS.ST;;
Délégation de Sbiba;TN.KS.SB;;
Délégation de Djedeliane;TN.KS.DJ;;
Délégation de El Ayoun;TN.KS.AY;;
Délégation de Thala;TN.KS.TH;;
Délégation de Hidra;TN.KS.HI;;
Délégation de Foussana;TN.KS.FO;;
Délégation de Feriana;TN.KS.FE;;
Délégation de Majel Bel Abbès;TN.KS.MB;;
Gouvernorat de Sidi Bouzid;TN.SZ;;
Délégation de Sidi Bouzid Ouest;TN.SZ.SO;;
Délégation de Sidi Bouzid Est;TN.SZ.SE;;
Délégation de Jilma;TN.SZ.JI;;
Délégation de Cebalet Ouled Asker;TN.SZ.SA;;
Délégation de Bir El Hafey;TN.SZ.BH;;
Délégation de Sidi Ali Ben Aoûn;TN.SZ.SB;;
Délégation de Menzel Bouzaïenne;TN.SZ.MB;;
Délégation de Meknassy;TN.SZ.ME;;
Délégation de Souk Jedid;TN.SZ.SJ;;
Délégation de Mezzouna;TN.SZ.MA;;
Délégation de Regueb;TN.SZ.RE;;
Délégation de Ouled Haffouz;TN.SZ.OH;;
Gouvernorat de Gabès;TN.GB;;
Délégation de Gabes Medina;TN.GB.GS;;
Délégation de Gabes Ouest;TN.GB.GO;;
Délégation de Gabes Sud;TN.GB.GS;;
Délégation de Ghanouch;TN.GB.GA;;
Délégation de El Metouia;TN.GB.ME;;
Délégation de Menzel El Habib;TN.GB.MH;;
Délégation de El Hamma;TN.GB.HA;;
Délégation de Matmata;TN.GB.MT;;
Délégation de Nouvelle Matmata;TN.GB.MN;;
Délégation de Mareth;TN.GB.MR;;
Gouvernorat de Medenine;TN.ME;;
Délégation de Medenine Nord;TN.ME.MN;;
Délégation de Medenine Sud;TN.ME.MS;;
Délégation de Beni Khedech;TN.ME.BK;;
Délégation de Ben Guerdane;TN.ME.BG;;
Délégation de Zarzis;TN.ME.ZA;;
Délégation de Djerba Houmet Souk;TN.ME.DH;;
Délégation de Djerba Midoun;TN.ME.DM;;
Délégation de Djerba Ajim;TN.ME.DA;;
Délégation de Sidi Makhloulf;TN.ME.SM;;
Gouvernorat de Tataouine;TN.TA;;
Délégation de Tataouine Nord;TN.TA.TN;;
Délégation de Tataouine Sud;TN.TA.TS;;
Délégation de Smâr;TN.TA.SA;;
Délégation de Bir Lahmar;TN.TA.BL;;
Délégation de Ghomrassen;TN.TA.GH;;
Délégation de Dhehiba;TN.TA.DH;;
Délégation de Remada;TN.TA.RE;;
Gouvernorat de Gafsa;TN.GF;;
Délégation de Gafsa Nord;TN.GF.GN;;
Délégation de Sidi Aïch;TN.GF.SA;;
Délégation de El Ksar;TN.GF.KS;;
Délégation de Gafsa Sud;TN.GF.GS;;
Délégation de Oum El Araies;TN.GF.OL;;
Délégation de Redeyef;TN.GF.RE;;
Délégation de Metlaoui;TN.GF.ME;;
Délégation de Mdhila;TN.GF.MD;;
Délégation de EL Guetar;TN.GF.GU;;
Délégation de Belkhir;TN.GF.BE;;
Délégation de Sned;TN.GF.SE;;
Gouvernorat de Tozeur;TN.TO.TO;;
Délégation de Tozeur;TN.TO.TO;;
Délégation de Degach;TN.TO.DE;;
Délégation de Tameghza;TN.TO.TA;;
Délégation de Nefta;TN.TO.NA;;
Délégation de Hazoua;TN.TO.HA;;
Gouvernorat de Kébili;TN.KB.SA;;
Délégation de Kebili Sud;TN.KB.KS;;
Délégation de Kebeli Nord;TN.KB.KN;;
Délégation de Souk El Ahed;TN.KB.SA;;
Délégation de Douz Nord;TN.KB.DN;;
Délégation de Douz Sud;TN.KB.DS;;
Délégation de Faouar;TN.KB.FA;;
