Projection de la population 2014-2044;;
;Région;Valeur (En millier)
;Tunisie;5 981,1
1;Gouvernorat de Tunis;47,7
2;Gouvernorat de L'Ariana;43,6
3;Gouvernorat de Ben Arous;40,1
4;Gouvernorat de Manouba;38,1
5;Gouvernorat de Zaghouan;34,9
6;Gouvernorat de Nabeul;34,8
7;Gouvernorat de Bizerte;33,4
8;Gouvernorat de Bèja;29,8
9;Gouvernorat de Jendouba;25,7
10;Gouvernorat de Kairouan;24,7
11;Gouvernorat de Kasserine;22,5
12;Gouvernorat du Kef;21,8
13;Gouvernorat de Sidi Bouzid;20,9
14;Gouvernorat de Siliana;20,0
15;Gouvernorat de Gabès;17,6
16;Gouvernorat de Medenine;16,8
17;Gouvernorat de Tataouine;15,1
18;Gouvernorat de Gafsa;14,2
19;Gouvernorat de Sousse;12,7
20;Gouvernorat de Tozeur;12,4
21;Gouvernorat de Kébili;10,5
22;Gouvernorat de Monastir;8,5
23;Gouvernorat de Sfax;8,5
24;Gouvernorat de Mahdia;7,4
;47 741,0;
;48 187,0;
;47 722,0;
;46 841,0;
;45 608,0;
