Population,Quality*,Incidence,1-year (prop.),3-year (prop.),5-year (prop.)
"Afghanistan,""G6"",""3Ê108"",""2Ê708 (31.1)"",""7Ê231 (82.9)"",""11Ê013 (126.3)"","
"Albania,""G3"",""1Ê022"",""944 (73.7)"",""2Ê717 (212.1)"",""4Ê332 (338.1)"","
"Algeria,""C6"",""8Ê177"",""7Ê042 (52.8)"",""18Ê891 (141.8)"",""28Ê835 (216.4)"","
"Angola,""G6"",""1Ê328"",""1Ê095 (19.7)"",""2Ê821 (50.7)"",""4Ê178 (75.1)"","
"Argentina,""B3"",""19Ê386"",""16Ê273 (101.3)"",""44Ê304 (275.7)"",""68Ê534 (426.5)"","
"Armenia,""G3"",""1Ê704"",""1Ê394 (101.8)"",""3Ê701 (270.2)"",""5Ê632 (411.2)"","
"Australia,""A1"",""14Ê710"",""12Ê664 (135.2)"",""36Ê795 (392.8)"",""59Ê584 (636.1)"","
"Austria,""A1"",""5Ê254"",""4Ê575 (122.9)"",""12Ê953 (348.0)"",""20Ê522 (551.4)"","
"Azerbaijan,""G2"",""1Ê413"",""1Ê196 (31.3)"",""3Ê188 (83.5)"",""4Ê849 (127.0)"","
"Bahamas,""G1"",""213"",""187 (131.7)"",""505 (355.7)"",""780 (549.4)"","
"Bahrain,""A1"",""177"",""154 (41.0)"",""413 (110.0)"",""631 (168.1)"","
"Bangladesh,""F6"",""14Ê836"",""13Ê118 (24.8)"",""35Ê117 (66.3)"",""53Ê476 (100.9)"","
"Barbados,""G2"",""207"",""182 (157.1)"",""490 (422.8)"",""754 (650.7)"","
"Belarus,""A2"",""3Ê781"",""3Ê376 (76.8)"",""9Ê292 (211.5)"",""14Ê243 (324.2)"","
"Belgium,""A2"",""10Ê337"",""9Ê308 (202.1)"",""26Ê310 (571.4)"",""41Ê418 (899.4)"","
"Belize,""G2"",""45"",""42 (38.6)"",""111 (102.1)"",""175 (160.9)"","
"Benin,""F6"",""910"",""759 (27.9)"",""1Ê955 (72.0)"",""2Ê895 (106.6)"","
"Bhutan,""D6"",""13"",""9 (3.6)"",""24 (9.7)"",""36 (14.5)"","
"Bolivia (Plurinational State of),""G6"",""807"",""697 (20.7)"",""1Ê905 (56.6)"",""2Ê951 (87.8)"","
"Bosnia and Herzegovena,""D5"",""1Ê152"",""1Ê064 (63.2)"",""3Ê049 (181.2)"",""4Ê843 (287.7)"","
"Botswana,""D6"",""155"",""123 (17.8)"",""319 (46.3)"",""472 (68.5)"","
"Brazil,""B2"",""67Ê316"",""57Ê959 (75.2)"",""158Ê151 (205.3)"",""244Ê772 (317.8)"","
"Brunei Darussalam,""F5"",""83"",""72 (46.9)"",""193 (125.6)"",""297 (193.3)"","
"Bulgaria,""A2"",""3Ê928"",""3Ê472 (104.6)"",""9Ê539 (287.2)"",""14Ê620 (440.2)"","
"Burkina Faso,""F6"",""1Ê144"",""946 (19.3)"",""2Ê437 (49.6)"",""3Ê614 (73.6)"","
"Burundi,""G6"",""696"",""573 (20.4)"",""1Ê478 (52.5)"",""2Ê185 (77.6)"","
"Cabo Verde,""G6"",""59"",""48 (26.9)"",""124 (69.5)"",""185 (103.7)"","
"Cambodia,""G6"",""1Ê255"",""1Ê095 (21.0)"",""2Ê910 (55.8)"",""4Ê417 (84.8)"","
"Cameroon,""E6"",""2Ê625"",""2Ê115 (34.4)"",""5Ê451 (88.7)"",""8Ê082 (131.5)"","
"Canada,""A1"",""23Ê420"",""21Ê613 (146.9)"",""61Ê833 (420.3)"",""98Ê091 (666.8)"","
"Central African Republic,""G6"",""504"",""411 (29.2)"",""1Ê060 (75.4)"",""1Ê571 (111.8)"","
"Chad,""G6"",""1Ê274"",""1Ê054 (32.1)"",""2Ê716 (82.8)"",""4Ê022 (122.6)"","
"Chile,""C2"",""4Ê081"",""3Ê450 (49.4)"",""9Ê395 (134.6)"",""14Ê524 (208.0)"","
"China,""C4"",""187Ê213"",""163Ê039 (30.2)"",""447Ê334 (82.9)"",""697Ê327 (129.3)"","
"Colombia,""C2"",""8Ê686"",""7Ê402 (42.0)"",""20Ê220 (114.6)"",""31Ê340 (177.6)"","
"Comoros,""G6"",""40"",""34 (15.3)"",""85 (38.3)"",""128 (57.7)"","
"Congo,""G6"",""4Ê578"",""3Ê757 (19.7)"",""9Ê677 (50.7)"",""14Ê341 (75.1)"","
"Costa Rica,""A2"",""1Ê145"",""978 (54.3)"",""2Ê661 (147.7)"",""4Ê118 (228.5)"","
"Croatia,""A2"",""2Ê641"",""2Ê385 (121.7)"",""6Ê806 (347.3)"",""10Ê766 (549.4)"","
"Cuba,""C1"",""4Ê433"",""3Ê701 (78.9)"",""10Ê112 (215.6)"",""15Ê685 (334.4)"","
"Cyprus,""A3"",""604"",""557 (121.5)"",""1Ê595 (347.9)"",""2Ê535 (553.0)"","
"Czech Republic,""A2"",""6Ê854"",""6Ê132 (132.1)"",""16Ê726 (360.2)"",""25Ê412 (547.2)"","
"C™te d'Ivoire,""F6"",""2Ê248"",""1Ê826 (30.5)"",""4Ê714 (78.8)"",""7Ê004 (117.1)"","
"Democratic People%u2019s Republic of Korea,""G6"",""5Ê707"",""4Ê761 (48.3)"",""12Ê680 (128.6)"",""19Ê313 (195.9)"","
"Democratic Republic of the Congo,""E6"",""424"",""352 (27.9)"",""911 (72.1)"",""1Ê350 (106.9)"","
"Denmark,""A2"",""5Ê224"",""4Ê785 (205.0)"",""13Ê344 (571.6)"",""20Ê714 (887.4)"","
"Djibouti,""G6"",""128"",""105 (34.9)"",""270 (89.8)"",""400 (133.1)"","
"Dominican Republic,""G3"",""1Ê821"",""1Ê602 (45.0)"",""4Ê389 (123.3)"",""6Ê801 (191.0)"","
"Ecuador,""C3"",""2Ê298"",""1Ê982 (37.6)"",""5Ê404 (102.5)"",""8Ê354 (158.5)"","
"Egypt,""C3"",""18Ê660"",""15Ê848 (54.5)"",""42Ê385 (145.8)"",""64Ê690 (222.5)"","
"El Salvador,""G2"",""725"",""625 (26.5)"",""1Ê715 (72.8)"",""2Ê663 (113.0)"","
"Equatorial Guinea,""G6"",""74"",""61 (28.1)"",""157 (72.2)"",""232 (106.8)"","
"Eritrea,""G6"",""660"",""534 (31.8)"",""1Ê379 (82.0)"",""2Ê047 (121.7)"","
